,s0_wip,s1_wip,s2_wip,s3_wip,total_wip,finish,state
589,0,1,6,0,7,1,正常
590,1,1,5,1,8,1,正常
591,0,1,6,1,8,1,正常
592,1,1,6,0,8,2,正常
593,0,1,7,0,8,2,正常
594,1,1,7,0,9,2,正常
595,0,1,8,0,9,2,正常
596,1,1,7,1,10,2,正常
597,0,1,8,1,10,2,正常
598,1,1,8,0,10,3,正常
599,0,1,9,0,10,3,正常
600,1,1,9,0,11,3,正常
601,0,1,10,0,11,3,正常
602,1,1,9,1,12,3,正常
603,0,1,10,1,12,3,正常
604,1,1,10,0,12,4,正常
605,0,1,11,0,12,4,正常
606,1,1,11,0,13,4,正常
607,0,1,12,0,13,4,正常
608,1,1,11,1,14,4,正常
609,0,1,12,1,14,4,正常
610,0,1,12,0,13,5,正常
611,1,0,13,0,14,5,正常
612,0,1,13,0,14,5,正常
613,0,1,13,0,14,5,正常
614,0,0,13,1,14,5,正常
615,1,0,0,0,1,0,正常
616,0,1,0,0,1,0,正常
617,1,1,0,0,2,0,正常
618,0,1,1,0,2,0,正常
619,1,1,1,0,3,0,正常
620,0,1,2,0,3,0,正常
621,1,1,2,0,4,0,正常
622,0,1,3,0,4,0,正常
623,1,1,3,0,5,0,正常
624,0,1,4,0,5,0,正常
625,1,1,3,1,6,0,正常
626,0,1,4,1,6,0,正常
627,1,1,4,0,6,1,正常
628,0,1,5,0,6,1,正常
629,1,1,5,0,7,1,正常
630,0,1,6,0,7,1,正常
631,1,1,5,1,8,1,正常
632,0,1,6,1,8,1,正常
633,1,1,6,0,8,2,正常
634,0,1,7,0,8,2,正常
635,1,1,7,0,9,2,正常
636,0,1,8,0,9,2,正常
637,1,1,7,1,10,2,正常
638,0,1,8,1,10,2,正常
639,1,1,8,0,10,3,正常
640,0,1,9,0,10,3,正常
641,1,1,9,0,11,3,正常
642,0,1,10,0,11,3,正常
643,1,1,9,1,12,3,正常
644,0,1,10,1,12,3,正常
645,1,1,10,0,12,4,正常
646,0,1,11,0,12,4,正常
647,1,1,11,0,13,4,正常
648,0,1,12,0,13,4,正常
649,1,1,11,1,14,4,正常
650,0,1,12,1,14,4,正常
651,1,1,12,0,14,5,正常
652,0,1,13,0,14,5,正常
653,1,1,13,0,15,5,正常
654,0,1,14,0,15,5,正常
655,0,1,13,1,15,5,正常
656,1,0,0,0,1,0,正常
657,0,1,0,0,1,0,正常
658,1,1,0,0,2,0,正常
659,0,1,1,0,2,0,正常
660,1,1,1,0,3,0,正常
661,0,1,2,0,3,0,正常
662,1,1,2,0,4,0,正常
663,0,1,3,0,4,0,正常
664,1,1,3,0,5,0,正常
665,0,1,4,0,5,0,正常
666,1,1,3,1,6,0,正常
667,0,1,4,1,6,0,正常
668,1,1,4,0,6,1,正常
669,0,1,5,0,6,1,正常
670,1,1,5,0,7,1,正常
671,0,1,6,0,7,1,正常
672,1,1,5,1,8,1,正常
673,0,1,6,1,8,1,正常
674,1,1,6,0,8,2,正常
675,0,1,7,0,8,2,正常
676,1,1,7,0,9,2,正常
677,0,1,8,0,9,2,正常
678,1,1,7,1,10,2,正常
679,0,1,8,1,10,2,正常
680,1,1,8,0,10,3,正常
681,0,1,9,0,10,3,正常
682,1,1,9,0,11,3,正常
683,0,1,10,0,11,3,正常
684,1,1,9,1,12,3,正常
685,0,1,10,1,12,3,正常
686,1,1,10,0,12,4,正常
687,0,1,11,0,12,4,正常
688,1,1,11,0,13,4,正常
689,0,1,12,0,13,4,正常
690,1,1,11,1,14,4,正常
691,0,1,12,1,14,4,正常
692,1,1,12,0,14,5,正常
693,0,1,13,0,14,5,正常
694,1,1,13,0,15,5,正常
695,0,1,14,0,15,5,正常
696,1,1,13,1,16,5,正常
697,1,0,0,0,1,0,正常
698,0,1,0,0,1,0,正常
699,1,1,0,0,2,0,正常
700,0,1,1,0,2,0,正常
701,1,1,1,0,3,0,正常
702,0,1,2,0,3,0,正常
703,1,1,2,0,4,0,正常
704,0,1,3,0,4,0,正常
705,1,1,3,0,5,0,正常
706,0,1,4,0,5,0,正常
707,1,1,3,1,6,0,正常
708,0,1,4,1,6,0,正常
709,1,1,4,0,6,1,正常
710,0,1,5,0,6,1,正常
711,1,1,5,0,7,1,正常
712,0,1,6,0,7,1,正常
713,1,1,5,1,8,1,正常
714,0,1,6,1,8,1,正常
715,1,1,6,0,8,2,正常
716,0,1,7,0,8,2,正常
717,1,1,7,0,9,2,正常
718,0,1,8,0,9,2,正常
719,1,1,7,1,10,2,正常
720,0,1,8,1,10,2,正常
721,1,1,8,0,10,3,正常
722,0,1,9,0,10,3,正常
723,1,1,9,0,11,3,正常
724,0,1,10,0,11,3,正常
725,1,1,9,1,12,3,正常
726,0,1,10,1,12,3,正常
727,1,1,10,0,12,4,正常
728,0,1,11,0,12,4,正常
729,1,1,11,0,13,4,正常
730,0,1,12,0,13,4,正常
731,1,1,11,1,14,4,正常
732,0,1,12,1,14,4,正常
733,1,1,12,0,14,5,正常
734,0,1,13,0,14,5,正常
735,1,1,13,0,15,5,正常
736,0,1,14,0,15,5,正常
737,1,1,13,1,16,5,正常
738,1,0,0,0,1,0,正常
739,0,1,0,0,1,0,正常
740,1,1,0,0,2,0,正常
741,0,1,1,0,2,0,正常
742,1,1,1,0,3,0,正常
743,0,1,2,0,3,0,正常
744,1,1,2,0,4,0,正常
745,0,1,3,0,4,0,正常
746,1,1,3,0,5,0,正常
747,0,1,4,0,5,0,正常
748,1,1,3,1,6,0,正常
749,0,1,4,1,6,0,正常
750,1,1,4,0,6,1,正常
751,0,1,5,0,6,1,正常
752,1,1,5,0,7,1,正常
753,0,1,6,0,7,1,正常
754,1,1,5,1,8,1,正常
755,0,1,6,1,8,1,正常
756,1,1,6,0,8,2,正常
757,0,1,7,0,8,2,正常
758,1,1,7,0,9,2,正常
759,0,1,8,0,9,2,正常
760,1,1,7,1,10,2,正常
761,0,1,8,1,10,2,正常
762,1,1,8,0,10,3,正常
763,0,1,9,0,10,3,正常
764,1,1,9,0,11,3,正常
765,0,1,10,0,11,3,正常
766,1,1,9,1,12,3,正常
767,0,1,10,1,12,3,正常
768,1,1,10,0,12,4,正常
769,0,1,11,0,12,4,正常
770,1,1,11,0,13,4,正常
771,0,1,12,0,13,4,正常
772,1,1,11,1,14,4,正常
773,0,1,12,1,14,4,正常
774,1,1,12,0,14,5,正常
775,0,1,13,0,14,5,正常
776,1,1,13,0,15,5,正常
777,0,1,14,0,15,5,正常
778,1,1,13,1,16,5,正常
779,1,0,0,0,1,0,正常
780,0,1,0,0,1,0,正常
781,1,1,0,0,2,0,正常
782,0,1,1,0,2,0,正常
783,1,1,1,0,3,0,正常
784,0,1,2,0,3,0,正常
785,1,1,2,0,4,0,正常
786,0,1,3,0,4,0,正常
787,1,1,3,0,5,0,正常
788,0,1,4,0,5,0,正常
789,1,1,3,1,6,0,正常
790,0,1,4,1,6,0,正常
791,1,1,4,0,6,1,正常
792,0,1,5,0,6,1,正常
793,1,1,5,0,7,1,正常
794,0,1,6,0,7,1,正常
795,1,1,5,1,8,1,正常
796,0,1,6,1,8,1,正常
797,1,1,6,0,8,2,正常
798,0,1,7,0,8,2,正常
799,1,1,7,0,9,2,正常
800,0,1,8,0,9,2,正常
801,1,1,7,1,10,2,正常
802,0,1,8,1,10,2,正常
803,1,1,8,0,10,3,正常
804,0,1,9,0,10,3,正常
805,1,1,9,0,11,3,正常
806,0,1,10,0,11,3,正常
807,1,1,9,1,12,3,正常
808,0,1,10,1,12,3,正常
809,1,1,10,0,12,4,正常
810,0,1,11,0,12,4,正常
811,1,1,11,0,13,4,正常
812,0,1,12,0,13,4,正常
813,1,1,11,1,14,4,正常
814,0,1,12,1,14,4,正常
